DEN BIN HEX
0 0 0
1 1 1
2 10 2
3 11 3
4 100 4
5 101 5
6 110 6
7 111 7
8 1000 8
9 1001 9
10 1010 a
11 1011 b
12 1100 c
13 1101 d
14 1110 e
15 1111 f
16 10000 10
17 10001 11
18 10010 12
19 10011 13
20 10100 14
21 10101 15
22 10110 16
23 10111 17
24 11000 18
25 11001 19
26 11010 1a
27 11011 1b
28 11100 1c
29 11101 1d
30 11110 1e
31 11111 1f
32 100000 20
33 100001 21
34 100010 22
35 100011 23
36 100100 24
37 100101 25
38 100110 26
39 100111 27
40 101000 28
41 101001 29
42 101010 2a
43 101011 2b
44 101100 2c
45 101101 2d
46 101110 2e
47 101111 2f
48 110000 30
49 110001 31
50 110010 32
51 110011 33
52 110100 34
53 110101 35
54 110110 36
55 110111 37
56 111000 38
57 111001 39
58 111010 3a
59 111011 3b
60 111100 3c
61 111101 3d
62 111110 3e
63 111111 3f
64 1000000 40
65 1000001 41
66 1000010 42
67 1000011 43
68 1000100 44
69 1000101 45
70 1000110 46
71 1000111 47
72 1001000 48
73 1001001 49
74 1001010 4a
75 1001011 4b
76 1001100 4c
77 1001101 4d
78 1001110 4e
79 1001111 4f
80 1010000 50
81 1010001 51
82 1010010 52
83 1010011 53
84 1010100 54
85 1010101 55
86 1010110 56
87 1010111 57
88 1011000 58
89 1011001 59
90 1011010 5a
91 1011011 5b
92 1011100 5c
93 1011101 5d
94 1011110 5e
95 1011111 5f
96 1100000 60
97 1100001 61
98 1100010 62
99 1100011 63
100 1100100 64
101 1100101 65
102 1100110 66
103 1100111 67
104 1101000 68
105 1101001 69
106 1101010 6a
107 1101011 6b
108 1101100 6c
109 1101101 6d
110 1101110 6e
111 1101111 6f
112 1110000 70
113 1110001 71
114 1110010 72
115 1110011 73
116 1110100 74
117 1110101 75
118 1110110 76
119 1110111 77
120 1111000 78
121 1111001 79
122 1111010 7a
123 1111011 7b
124 1111100 7c
125 1111101 7d
126 1111110 7e
127 1111111 7f
128 10000000 80
129 10000001 81
130 10000010 82
131 10000011 83
132 10000100 84
133 10000101 85
134 10000110 86
135 10000111 87
136 10001000 88
137 10001001 89
138 10001010 8a
139 10001011 8b
140 10001100 8c
141 10001101 8d
142 10001110 8e
143 10001111 8f
144 10010000 90
145 10010001 91
146 10010010 92
147 10010011 93
148 10010100 94
149 10010101 95
150 10010110 96
151 10010111 97
152 10011000 98
153 10011001 99
154 10011010 9a
155 10011011 9b
156 10011100 9c
157 10011101 9d
158 10011110 9e
159 10011111 9f
160 10100000 a0
161 10100001 a1
162 10100010 a2
163 10100011 a3
164 10100100 a4
165 10100101 a5
166 10100110 a6
167 10100111 a7
168 10101000 a8
169 10101001 a9
170 10101010 aa
171 10101011 ab
172 10101100 ac
173 10101101 ad
174 10101110 ae
175 10101111 af
176 10110000 b0
177 10110001 b1
178 10110010 b2
179 10110011 b3
180 10110100 b4
181 10110101 b5
182 10110110 b6
183 10110111 b7
184 10111000 b8
185 10111001 b9
186 10111010 ba
187 10111011 bb
188 10111100 bc
189 10111101 bd
190 10111110 be
191 10111111 bf
192 11000000 c0
193 11000001 c1
194 11000010 c2
195 11000011 c3
196 11000100 c4
197 11000101 c5
198 11000110 c6
199 11000111 c7
200 11001000 c8
201 11001001 c9
202 11001010 ca
203 11001011 cb
204 11001100 cc
205 11001101 cd
206 11001110 ce
207 11001111 cf
208 11010000 d0
209 11010001 d1
210 11010010 d2
211 11010011 d3
212 11010100 d4
213 11010101 d5
214 11010110 d6
215 11010111 d7
216 11011000 d8
217 11011001 d9
218 11011010 da
219 11011011 db
220 11011100 dc
221 11011101 dd
222 11011110 de
223 11011111 df
224 11100000 e0
225 11100001 e1
226 11100010 e2
227 11100011 e3
228 11100100 e4
229 11100101 e5
230 11100110 e6
231 11100111 e7
232 11101000 e8
233 11101001 e9
234 11101010 ea
235 11101011 eb
236 11101100 ec
237 11101101 ed
238 11101110 ee
239 11101111 ef
240 11110000 f0
241 11110001 f1
242 11110010 f2
243 11110011 f3
244 11110100 f4
245 11110101 f5
246 11110110 f6
247 11110111 f7
248 11111000 f8
249 11111001 f9
250 11111010 fa
251 11111011 fb
252 11111100 fc
253 11111101 fd
254 11111110 fe
255 11111111 ff
